date,power_consumption
2010-05-06,293.99
2010-05-07,233.846
2010-05-08,173.68001
2010-05-09,187.01
2010-05-10,212.642
2010-05-11,180.498
2010-05-12,0.0
2010-05-13,153.884
2010-05-14,159.884
2010-05-15,232.944
2010-05-16,164.382
2010-05-17,147.376
2010-05-18,149.652
2010-05-19,151.254
2010-05-20,139.14
2010-05-21,167.694
2010-05-22,212.698
2010-05-23,253.1
2010-05-24,228.04
2010-05-25,203.866
2010-05-26,241.61
2010-05-27,195.836
2010-05-28,162.47
2010-05-29,205.612
2010-05-30,176.892
2010-05-31,145.874
2010-06-01,152.08
2010-06-02,296.614
2010-06-03,139.558
2010-06-04,170.614
2010-06-05,118.704
2010-06-06,291.186
2010-06-07,192.292
2010-06-08,164.584
2010-06-09,161.204
2010-06-10,140.568
2010-06-11,193.95801
2010-06-12,0.0
2010-06-13,253.716
2010-06-14,178.64
2010-06-15,179.096
2010-06-16,183.078
2010-06-17,168.268
2010-06-18,171.418
2010-06-19,210.808
2010-06-20,144.08
2010-06-21,169.68
2010-06-22,209.434
2010-06-23,296.482
2010-06-24,230.782
2010-06-25,218.734
2010-06-26,294.49
2010-06-27,304.71
2010-06-28,280.888
2010-06-29,322.716
2010-06-30,238.588
2010-07-01,115.024
2010-07-02,162.466
2010-07-03,133.948
2010-07-04,184.526
2010-07-05,145.164
2010-07-06,184.11
2010-07-07,209.536
2010-07-08,168.026
2010-07-09,167.962
2010-07-10,180.096
2010-07-11,174.976
2010-07-12,0.0
2010-07-13,287.722
2010-07-14,248.48
2010-07-15,192.324
2010-07-16,196.728
2010-07-17,181.35
2010-07-18,169.93
2010-07-19,192.498
2010-07-20,218.46
2010-07-21,244.246
2010-07-22,311.284
2010-07-23,285.28
2010-07-24,285.854
2010-07-25,258.166
2010-07-26,177.86
2010-07-27,174.73
2010-07-28,182.866
2010-07-29,177.266
2010-07-30,172.854
2010-07-31,181.73
2010-08-01,159.78
2010-08-02,139.75
2010-08-03,252.338
2010-08-04,165.142
2010-08-05,173.222
2010-08-06,198.334
2010-08-07,246.894
2010-08-08,168.092
2010-08-09,171.182
2010-08-10,200.616
2010-08-11,145.656
2010-08-12,0.0
2010-08-13,165.538
2010-08-14,160.51
2010-08-15,206.77
2010-08-16,185.016
2010-08-17,138.356
2010-08-18,0.0
2010-08-19,0.0
2010-08-20,0.0
2010-08-21,0.0
2010-08-22,24.647999
2010-08-23,206.796
2010-08-24,175.45801
2010-08-25,161.132
2010-08-26,178.094
2010-08-27,304.318
2010-08-28,237.504
2010-08-29,191.694
2010-08-30,180.656
2010-08-31,168.46
2010-09-01,199.4
2010-09-02,139.712
2010-09-03,168.078
2010-09-04,162.482
2010-09-05,205.384
2010-09-06,182.534
2010-09-07,314.074
2010-09-08,171.492
2010-09-09,167.954
2010-09-10,254.02
2010-09-11,154.67
2010-09-12,0.0
2010-09-13,189.798
2010-09-14,197.004
2010-09-15,219.558
2010-09-16,171.35
2010-09-17,196.642
2010-09-18,161.978
2010-09-19,147.406
2010-09-20,195.214
2010-09-21,179.714
2010-09-22,188.33
2010-09-23,164.938
2010-09-24,185.256
2010-09-25,28.524
2010-09-26,0.0
2010-09-27,0.0
2010-09-28,25.84
2010-09-29,139.41
2010-09-30,153.23601
2010-10-01,227.17
2010-10-02,141.622
2010-10-03,130.298
2010-10-04,179.52
2010-10-05,144.298
2010-10-06,173.226
2010-10-07,281.282
2010-10-08,181.808
2010-10-09,200.052
2010-10-10,327.446
2010-10-11,153.472
2010-10-12,0.0
2010-10-13,172.644
2010-10-14,215.944
2010-10-15,201.54
2010-10-16,167.938
2010-10-17,185.494
2010-10-18,261.184
2010-10-19,219.57
2010-10-20,162.564
2010-10-21,181.434
2010-10-22,148.522
2010-10-23,213.112
2010-10-24,269.228
2010-10-25,159.328
2010-10-26,173.266
2010-10-27,153.832
2010-10-28,187.24
2010-10-29,195.72
2010-10-30,195.32
2010-10-31,208.082
2010-11-01,156.206
2010-11-02,124.15
2010-11-03,152.388
2010-11-04,175.008
2010-11-05,152.3
2010-11-06,218.57
2010-11-07,302.624
2010-11-08,176.064
2010-11-09,235.63
2010-11-10,268.53
2010-11-11,152.188
2010-11-12,0.0
2010-11-13,162.18
2010-11-14,203.694
2010-11-15,126.716
2010-11-16,133.598
2010-11-17,141.916
2010-11-18,206.196
2010-11-19,122.928
2010-11-20,153.768
2010-11-21,119.624
2010-11-22,142.354
2010-11-23,137.45
2010-11-24,132.46
2010-11-25,116.128
2010-11-26,120.826004
2010-11-27,0.0
2010-11-28,0.0
2010-11-29,0.0
2010-11-30,0.0
2010-12-01,132.324
2010-12-02,132.282
2010-12-03,148.71
2010-12-04,157.73
2010-12-05,159.798
2010-12-06,271.672
2010-12-07,285.912
2010-12-08,169.098
2010-12-09,201.358
2010-12-10,170.268
2010-12-11,151.144
